movie_title,release_date,genre,MPAA_rating,director,character,voice-actor,revenue
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Louis the Alligator,Michael-Leon Wooley,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Mama Odie,Jenifer Lewis,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Marlon the Alligator,Emeril Lagasse,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Prince Naveen,Bruno Campos,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Ray the Firefly,Jim Cummings,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Tiana,Anika Noni Rose,116316457.0
The Princess and the Frog,25-Nov-09,Adventure,G,Ron Clements,Two Fingers,Paul Briggs,116316457.0
Billy Bathgate,1-Nov-91,Drama,R,Robert Benton,NA,NA,31167691.0
3 Ninjas Kick Back,6-May-94,Action,PG,Charles T. Kanganis,NA,NA,24267154.0
My Boyfriend's Back,6-Aug-93,NA,PG-13,Bob Balaban,NA,NA,6554384.0
Goal! The Dream Begins,12-May-06,Drama,PG,Danny Cannon,NA,NA,5512647.0
Country,29-Sep-84,Drama,NA,Francis Lee,NA,NA,21075000.0
Big Trouble,5-Apr-02,Comedy,PG-13,Barry Sonnenfeld,NA,NA,10537188.0
People Like Us,29-Jun-12,Drama,PG-13,Alex Kurtzman,NA,NA,13165822.0
Mars Needs Moms,11-Mar-11,Adventure,PG,Simon Wells,NA,NA,22741603.0
Angie,4-Mar-94,Comedy,R,Martha Coolidge,NA,NA,19116981.0
Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,Mike Mitchell,NA,NA,106921374.0
Veronica Guerin,17-Oct-03,Drama,R,Joel Schumacher,NA,NA,2194759.0
Max Keeble's Big Move,5-Oct-01,Comedy,PG,Tim Hill,NA,NA,25749730.0
The Scarlet Letter,13-Oct-95,Drama,R,Roland Joffé,NA,NA,20075033.0
D3: The Mighty Ducks,4-Oct-96,Comedy,PG,Rob Lieberman,NA,NA,43713554.0
Up,29-May-09,Adventure,PG,Darrell Van Citters,NA,NA,329336681.0
Alive,15-Jan-93,Adventure,R,William Brent Bell,NA,NA,73914543.0
Can't Buy Me Love,14-Aug-87,Romantic Comedy,NA,Steve Rash,NA,NA,68181300.0
The Hoax,6-Apr-07,Drama,R,Lasse Hallström,NA,NA,8779196.0
Fantasia,13-Nov-40,Musical,G,full credits,Ben Ali Gator,Jim Cummings,2187090808.0
Fantasia,13-Nov-40,Musical,G,full credits,Chernabog,Corey Burton,2187090808.0
Fantasia,13-Nov-40,Musical,G,full credits,Hyacinth Hippo,Tress MacNeille,2187090808.0
Fantasia,13-Nov-40,Musical,G,full credits,Madame Upanova,Tress MacNeille,2187090808.0
Fantasia,13-Nov-40,Musical,G,full credits,Melinda,None,2187090808.0
Fantasia,13-Nov-40,Musical,G,full credits,Yen Sid,Corey Burton,2187090808.0
Crimson Tide,12-May-95,Action,R,Tony Scott,NA,NA,177102077.0
Ransom,8-Nov-96,Action,R,Ron Howard,NA,NA,259807820.0
Pretty Woman,23-Mar-90,Romantic Comedy,R,Garry Marshall,NA,NA,356389765.0
Inspector Gadget,23-Jul-99,Comedy,PG,David Kellogg,NA,NA,161610341.0
Winnie the Pooh,15-Jul-11,Adventure,G,Stephen J. Anderson,NA,NA,28375869.0
The Tigger Movie,11-Feb-00,Adventure,G,Jun Falkenstein,NA,NA,71228678.0
Heavy Weights,17-Feb-95,Comedy,PG,Steven Brill,NA,NA,34245779.0
What About Bob?,17-May-91,Comedy,PG,Frank Oz,NA,NA,127571325.0
Condorman,7-Aug-81,Action,NA,Charles Jarrott,NA,NA,0.0
The Haunted Mansion,26-Nov-03,Comedy,PG,Rob Minkoff,NA,NA,105775678.0
The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,Garth Jennings,NA,NA,67096891.0
Bedknobs and Broomsticks,7-Oct-71,Musical,NA,Robert Stevenson,Bear,Dal McKennon,91305448.0
Bedknobs and Broomsticks,7-Oct-71,Musical,NA,Robert Stevenson,Codfish,Robert Holt,91305448.0
Bedknobs and Broomsticks,7-Oct-71,Musical,NA,Robert Stevenson,King Leonidas,Lennie Weinrib,91305448.0
Bedknobs and Broomsticks,7-Oct-71,Musical,NA,Robert Stevenson,Secretary Bird,Lennie Weinrib,91305448.0
Pooh's Heffalump Movie,11-Feb-05,Adventure,G,Frank Nissen,Lumpy the Heffalump,Kyle Stanger,23801835.0
Open Range,15-Aug-03,Western,R,Kevin Costner,NA,NA,81547672.0
D.O.A.,18-Mar-88,Thriller/Suspense,NA,Corey Yuen,NA,NA,26062188.0
Meet the Deedles,27-Mar-98,Comedy,PG,Steve Boyum,NA,NA,7829877.0
A Beautiful Planet,29-Apr-16,Documentary,G,Toni Myers,NA,NA,7895708.0
Sister Act,29-May-92,Comedy,PG,Emile Ardolino,NA,NA,283583472.0
Strange Magic,23-Jan-15,Adventure,PG,Gary Rydstrom,NA,NA,12429583.0
The Many Adventures of Winnie the Pooh,11-Mar-77,NA,NA,Wolfgang Reitherman,NA,NA,0.0
Quiz Show,14-Sep-94,Drama,PG-13,Robert Redford,NA,NA,50840394.0
While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,Jon Turteltaub,NA,NA,157082900.0
